Theta,Dir Sim Phi0,Dir Sim Phi90
-88.00,-13.23,-12.31
-87.00,-12.95,-12.08
-86.00,-12.68,-11.86
-85.00,-12.40,-11.63
-84.00,-12.13,-11.41
-83.00,-11.87,-11.19
-82.00,-11.60,-10.96
-81.00,-11.34,-10.74
-80.00,-11.08,-10.52
-79.00,-10.83,-10.30
-78.00,-10.58,-10.08
-77.00,-10.33,-9.87
-76.00,-10.08,-9.65
-75.00,-9.83,-9.44
-74.00,-9.59,-9.22
-73.00,-9.35,-9.01
-72.00,-9.12,-8.80
-71.00,-8.88,-8.59
-70.00,-8.65,-8.38
-69.00,-8.42,-8.17
-68.00,-8.20,-7.97
-67.00,-7.97,-7.76
-66.00,-7.75,-7.56
-65.00,-7.53,-7.36
-64.00,-7.32,-7.16
-63.00,-7.10,-6.96
-62.00,-6.89,-6.76
-61.00,-6.69,-6.57
-60.00,-6.48,-6.38
-59.00,-6.28,-6.19
-58.00,-6.08,-6.00
-57.00,-5.88,-5.81
-56.00,-5.68,-5.62
-55.00,-5.49,-5.44
-54.00,-5.30,-5.26
-53.00,-5.12,-5.08
-52.00,-4.94,-4.91
-51.00,-4.76,-4.73
-50.00,-4.58,-4.56
-49.00,-4.40,-4.39
-48.00,-4.23,-4.23
-47.00,-4.06,-4.06
-46.00,-3.90,-3.90
-45.00,-3.74,-3.74
-44.00,-3.58,-3.59
-43.00,-3.42,-3.43
-42.00,-3.27,-3.28
-41.00,-3.12,-3.14
-40.00,-2.97,-2.99
-39.00,-2.83,-2.85
-38.00,-2.69,-2.71
-37.00,-2.55,-2.58
-36.00,-2.42,-2.44
-35.00,-2.29,-2.31
-34.00,-2.16,-2.19
-33.00,-2.04,-2.07
-32.00,-1.92,-1.95
-31.00,-1.80,-1.83
-30.00,-1.69,-1.72
-29.00,-1.58,-1.61
-28.00,-1.47,-1.50
-27.00,-1.37,-1.40
-26.00,-1.27,-1.30
-25.00,-1.17,-1.20
-24.00,-1.08,-1.11
-23.00,-0.99,-1.02
-22.00,-0.90,-0.93
-21.00,-0.82,-0.85
-20.00,-0.75,-0.77
-19.00,-0.68,-0.70
-18.00,-0.61,-0.62
-17.00,-0.54,-0.56
-16.00,-0.48,-0.50
-15.00,-0.42,-0.44
-14.00,-0.36,-0.38
-13.00,-0.31,-0.33
-12.00,-0.26,-0.28
-11.00,-0.22,-0.24
-10.00,-0.18,-0.19
-9.00,-0.15,-0.15
-8.00,-0.11,-0.12
-7.00,-0.09,-0.10
-6.00,-0.06,-0.07
-5.00,-0.04,-0.05
-4.00,-0.02,-0.03
-3.00,-0.02,-0.02
-2.00,-0.01,-0.01
-1.00,0.00,0.00
-0.00,0.00,0.00
0.00,0.00,0.00
1.00,0.00,0.00
2.00,-0.01,-0.01
3.00,-0.02,-0.02
4.00,-0.03,-0.03
5.00,-0.06,-0.05
6.00,-0.08,-0.07
7.00,-0.10,-0.10
8.00,-0.14,-0.12
9.00,-0.17,-0.15
10.00,-0.21,-0.19
11.00,-0.25,-0.24
12.00,-0.29,-0.28
13.00,-0.34,-0.33
14.00,-0.40,-0.38
15.00,-0.45,-0.44
16.00,-0.52,-0.50
17.00,-0.58,-0.56
18.00,-0.65,-0.62
19.00,-0.73,-0.70
20.00,-0.80,-0.77
21.00,-0.88,-0.85
22.00,-0.97,-0.93
23.00,-1.05,-1.02
24.00,-1.14,-1.11
25.00,-1.24,-1.20
26.00,-1.34,-1.30
27.00,-1.44,-1.40
28.00,-1.55,-1.50
29.00,-1.66,-1.61
30.00,-1.77,-1.72
31.00,-1.89,-1.83
32.00,-2.01,-1.95
33.00,-2.13,-2.07
34.00,-2.26,-2.19
35.00,-2.39,-2.31
36.00,-2.52,-2.44
37.00,-2.66,-2.58
38.00,-2.80,-2.71
39.00,-2.94,-2.85
40.00,-3.09,-2.99
41.00,-3.24,-3.14
42.00,-3.40,-3.28
43.00,-3.55,-3.43
44.00,-3.71,-3.59
45.00,-3.88,-3.74
46.00,-4.04,-3.90
47.00,-4.22,-4.06
48.00,-4.39,-4.23
49.00,-4.56,-4.39
50.00,-4.74,-4.56
51.00,-4.93,-4.73
52.00,-5.11,-4.91
53.00,-5.30,-5.08
54.00,-5.49,-5.26
55.00,-5.69,-5.44
56.00,-5.89,-5.62
57.00,-6.09,-5.81
58.00,-6.29,-6.00
59.00,-6.50,-6.19
60.00,-6.71,-6.38
61.00,-6.92,-6.57
62.00,-7.14,-6.76
63.00,-7.36,-6.96
64.00,-7.58,-7.16
65.00,-7.80,-7.36
66.00,-8.03,-7.56
67.00,-8.26,-7.76
68.00,-8.49,-7.97
69.00,-8.73,-8.17
70.00,-8.97,-8.38
71.00,-9.21,-8.59
72.00,-9.46,-8.80
73.00,-9.71,-9.01
74.00,-9.95,-9.22
75.00,-10.21,-9.44
76.00,-10.47,-9.65
77.00,-10.73,-9.87
78.00,-10.99,-10.08
79.00,-11.26,-10.30
80.00,-11.53,-10.52
81.00,-11.80,-10.74
82.00,-12.08,-10.96
83.00,-12.36,-11.19
84.00,-12.64,-11.41
85.00,-12.93,-11.63
86.00,-13.23,-11.86
87.00,-13.52,-12.08
88.00,-13.82,-12.31
89.00,-14.13,-12.54
90.00,-14.44,-12.76
91.00,-14.75,-12.99
92.00,-15.07,-13.23
93.00,-15.39,-13.46
94.00,-15.72,-13.69
95.00,-16.06,-13.92
96.00,-16.40,-14.16
97.00,-16.75,-14.39
98.00,-17.10,-14.63
99.00,-17.47,-14.87
100.00,-17.84,-15.11
101.00,-18.22,-15.35
102.00,-18.61,-15.60
103.00,-19.01,-15.85
104.00,-19.42,-16.10
105.00,-19.84,-16.34
106.00,-20.27,-16.60
107.00,-20.72,-16.85
108.00,-21.18,-17.11
109.00,-21.65,-17.37
110.00,-22.15,-17.64
111.00,-22.67,-17.90
112.00,-23.21,-18.17
113.00,-23.78,-18.44
114.00,-24.37,-18.72
115.00,-24.99,-19.00
116.00,-25.65,-19.28
117.00,-26.34,-19.58
118.00,-27.08,-19.86
119.00,-27.87,-20.16
120.00,-28.72,-20.45
121.00,-29.64,-20.76
122.00,-30.63,-21.06
123.00,-31.72,-21.37
124.00,-32.91,-21.67
125.00,-34.24,-21.99
126.00,-35.73,-22.30
127.00,-37.42,-22.62
128.00,-39.36,-22.93
129.00,-40.00,-23.24
130.00,-40.00,-23.55
131.00,-40.00,-23.85
132.00,-40.00,-24.15
133.00,-40.00,-24.43
134.00,-40.00,-24.71
135.00,-40.00,-24.98
136.00,-40.00,-25.23
137.00,-40.00,-25.46
138.00,-40.00,-25.66
139.00,-40.00,-25.85
140.00,-40.00,-26.01
141.00,-40.00,-26.14
142.00,-40.00,-26.24
143.00,-40.00,-26.32
144.00,-38.31,-26.36
145.00,-36.72,-26.37
146.00,-35.32,-26.35
147.00,-34.09,-26.31
148.00,-33.00,-26.23
149.00,-32.01,-26.14
150.00,-31.12,-26.02
151.00,-30.31,-25.88
152.00,-29.57,-25.72
153.00,-28.90,-25.56
154.00,-28.28,-25.38
155.00,-27.71,-25.20
156.00,-27.18,-25.01
157.00,-26.70,-24.81
158.00,-26.25,-24.62
159.00,-25.83,-24.42
160.00,-25.44,-24.24
161.00,-25.09,-24.06
162.00,-24.76,-23.87
163.00,-24.45,-23.69
164.00,-24.17,-23.53
165.00,-23.90,-23.37
166.00,-23.67,-23.21
167.00,-23.45,-23.08
168.00,-23.25,-22.94
169.00,-23.06,-22.82
170.00,-22.91,-22.71
171.00,-22.76,-22.60
172.00,-22.63,-22.51
173.00,-22.52,-22.43
174.00,-22.42,-22.35
175.00,-22.34,-22.30
176.00,-22.27,-22.25
177.00,-22.22,-22.21
178.00,-22.19,-22.19
179.00,-22.16,-22.16
180.00,-22.15,-22.15
